,1. open,2. high,3. low,4. close,5. volume
2017-11-14 10:00:00,2577.7500,2577.7500,2573.1300,2573.5600,0
2017-11-14 11:00:00,2573.6200,2579.6600,2566.5600,2578.1200,0
2017-11-14 12:00:00,2578.1200,2578.9400,2576.2900,2578.7000,0
2017-11-14 13:00:00,2578.6500,2579.4700,2572.9800,2574.2600,0
2017-11-14 14:00:00,2574.1900,2577.5400,2572.4100,2576.3700,0
2017-11-14 15:00:00,2576.3700,2578.4200,2575.9300,2578.0200,0
2017-11-14 16:00:00,2578.0100,2579.2900,2575.9000,2578.8500,0
2017-11-15 10:00:00,2569.4500,2569.4500,2557.4500,2559.6600,0
2017-11-15 11:00:00,2559.5700,2569.5700,2559.2400,2569.5700,0
2017-11-15 12:00:00,2569.6600,2572.8400,2568.9900,2570.8000,0
2017-11-15 13:00:00,2570.8400,2570.8500,2567.5900,2570.1700,0
2017-11-15 14:00:00,2570.1800,2570.1900,2566.7500,2566.9600,0
2017-11-15 15:00:00,2566.9800,2569.2300,2565.8100,2568.5400,0
2017-11-15 16:00:00,2568.5500,2570.8300,2563.3000,2564.9600,0
2017-11-16 10:00:00,2572.9500,2578.1700,2572.9500,2576.5700,0
2017-11-16 11:00:00,2576.5200,2584.4700,2576.3800,2583.3500,0
2017-11-16 12:00:00,2583.3500,2584.9000,2582.1900,2584.7300,0
2017-11-16 13:00:00,2584.7000,2587.8900,2584.6500,2587.0700,0
2017-11-16 14:00:00,2587.0800,2588.5600,2586.4900,2587.9000,0
2017-11-16 15:00:00,2587.8300,2590.0900,2586.9900,2587.3200,0
2017-11-16 16:00:00,2587.3000,2587.6100,2585.0500,2585.6800,0
2017-11-17 10:00:00,2582.9400,2583.0000,2579.5400,2582.6800,0
2017-11-17 11:00:00,2582.6800,2583.9600,2580.2200,2582.3900,0
2017-11-17 12:00:00,2582.3500,2582.6600,2578.8300,2582.0400,0
2017-11-17 13:00:00,2582.0400,2583.2600,2580.7100,2582.7000,0
2017-11-17 14:00:00,2582.7000,2582.9500,2580.7900,2581.9800,0
2017-11-17 15:00:00,2581.9800,2582.4900,2580.1300,2581.7100,0
2017-11-17 16:00:00,2581.7400,2581.7400,2577.6200,2578.7500,0
2017-11-20 10:00:00,2579.4900,2581.3100,2578.2400,2581.0200,0
2017-11-20 11:00:00,2581.0000,2582.4300,2579.2900,2582.1200,0
2017-11-20 12:00:00,2582.1400,2583.2500,2581.4700,2582.7800,0
2017-11-20 13:00:00,2582.7800,2583.1900,2580.6600,2582.8400,0
2017-11-20 14:00:00,2582.8300,2584.2500,2582.4400,2584.1400,0
2017-11-20 15:00:00,2584.1200,2584.3200,2583.2100,2583.5000,0
2017-11-20 16:00:00,2583.5100,2584.6400,2580.8500,2582.3500,0
2017-11-21 10:00:00,2589.1700,2596.8300,2589.1700,2595.9900,0
2017-11-21 11:00:00,2595.9900,2599.6500,2595.7300,2599.3700,0
2017-11-21 12:00:00,2599.3600,2600.1100,2598.0800,2599.3500,0
2017-11-21 13:00:00,2599.4000,2599.8100,2598.3600,2599.1000,0
2017-11-21 14:00:00,2599.1000,2601.1900,2598.7800,2599.3300,0
2017-11-21 15:00:00,2599.3400,2599.8700,2598.5500,2599.8500,0
2017-11-21 16:00:00,2599.8600,2599.9800,2597.6000,2599.1700,0
2017-11-22 10:00:00,2600.3100,2600.9400,2598.4700,2599.5800,0
2017-11-22 11:00:00,2599.5500,2599.8100,2596.3800,2598.9500,0
2017-11-22 12:00:00,2599.0300,2599.4400,2596.0900,2597.0900,0
2017-11-22 13:00:00,2597.0900,2597.5100,2595.5100,2597.0900,0
2017-11-22 14:00:00,2597.0900,2597.4000,2595.2300,2597.3300,0
2017-11-22 15:00:00,2597.3300,2599.0300,2597.2200,2598.1000,0
2017-11-22 16:00:00,2598.0800,2598.9600,2596.9800,2597.0000,0
2017-11-24 10:00:00,2600.4200,2602.6200,2600.4200,2601.9900,0
2017-11-24 11:00:00,2601.9300,2602.8800,2600.8200,2602.6500,0
2017-11-24 12:00:00,2602.6700,2604.1000,2602.6400,2603.1900,0
2017-11-24 13:00:00,2603.2000,2604.2100,2601.9200,2602.6100,0
2017-11-27 10:00:00,2602.6600,2606.4100,2601.8400,2604.2700,0
2017-11-27 11:00:00,2604.4300,2605.7100,2603.7000,2604.8900,0
2017-11-27 12:00:00,2604.8700,2605.1600,2598.8700,2601.8800,0
2017-11-27 13:00:00,2601.8700,2602.0200,2600.4600,2601.5700,0
2017-11-27 14:00:00,2601.7000,2603.2900,2601.7000,2603.2800,0
2017-11-27 15:00:00,2603.2700,2603.3300,2601.5700,2602.7500,0
2017-11-27 16:00:00,2602.7600,2602.9800,2601.4700,2601.4900,0
2017-11-28 10:00:00,2605.9400,2608.2400,2605.4400,2606.9000,0
2017-11-28 11:00:00,2606.9600,2610.4500,2606.8800,2609.5900,0
2017-11-28 12:00:00,2609.6000,2614.4300,2609.4200,2614.2900,0
2017-11-28 13:00:00,2614.2900,2618.8200,2614.2500,2618.5800,0
2017-11-28 14:00:00,2618.8100,2621.3100,2612.6200,2612.9300,0
2017-11-28 15:00:00,2612.9600,2623.5300,2610.4800,2622.9900,0
2017-11-28 16:00:00,2622.9800,2627.6900,2622.2900,2627.2700,0
