,1. open,2. high,3. low,4. close,5. volume
2000-10-13,1408.9900,1409.6899,1327.0800,1374.1700,5760600000
2000-10-20,1374.1700,1408.4700,1305.7900,1396.9301,6083900000
2000-10-27,1396.9301,1415.6400,1337.8101,1379.5800,5911100000
2000-11-03,1379.5800,1433.4000,1376.8600,1426.6899,5925100000
2000-11-10,1428.7600,1438.4600,1365.9700,1365.9800,4794600000
2000-11-17,1365.9800,1395.9600,1328.6200,1367.7200,5341600000
2000-11-24,1367.7200,1367.7200,1321.8900,1341.7700,3460970000
2000-12-01,1341.7700,1362.5000,1294.9000,1315.2300,4758130000
2000-12-08,1315.1801,1380.3300,1310.2300,1369.8900,5888900000
2000-12-15,1369.8900,1389.0500,1305.3800,1312.1500,6103300000
2000-12-22,1312.1500,1346.4399,1254.0699,1305.9500,6473400000
2000-12-29,1305.9700,1340.1000,1301.6400,1320.2800,3950000000
2001-01-05,1320.2800,1350.2400,1274.6200,1298.3500,6571900000
2001-01-12,1298.3500,1333.2100,1276.2900,1318.5500,6290500000
2001-01-19,1318.3199,1354.5500,1313.3300,1342.5400,5407600000
2001-01-26,1342.5400,1369.7500,1333.8400,1354.9500,6061600000
2001-02-02,1354.9200,1383.3700,1348.7200,1349.4700,5665400000
2001-02-09,1349.4700,1363.5500,1309.9800,1314.7600,5413600000
2001-02-16,1314.7600,1336.6200,1293.1801,1301.5300,5675500000
2001-02-23,1301.5300,1307.1600,1215.4399,1245.8600,4917900000
2001-03-02,1245.8600,1272.7600,1214.5000,1234.1801,6059100000
2001-03-09,1234.1801,1267.4200,1228.4200,1233.4200,5353200000
2001-03-16,1233.4200,1233.4200,1148.6400,1150.5300,6790360000
2001-03-23,1150.5300,1180.5601,1081.1899,1139.8300,6797250000
2001-03-30,1139.8300,1183.3500,1136.2600,1160.3300,6276900000
2001-04-06,1160.3300,1169.5100,1091.9900,1128.4301,6701390000
2001-04-12,1128.4301,1183.5100,1126.3800,1183.5000,4804700000
2001-04-20,1183.5000,1253.7100,1167.3800,1242.9800,6767900000
2001-04-27,1242.9800,1253.0699,1207.3800,1253.0500,5869200000
2001-05-04,1253.0500,1272.9301,1232.0000,1266.6100,6010300000
2001-05-11,1266.6100,1270.0000,1240.7900,1245.6700,5050600000
2001-05-18,1245.6700,1296.4800,1241.0200,1291.9600,5821700000
2001-05-25,1291.9600,1315.9301,1276.4200,1277.8900,5498900000
2001-06-01,1277.8900,1278.4200,1245.9600,1260.6700,4426200000
2001-06-08,1260.6700,1286.6200,1256.3600,1264.9600,4831000000
2001-06-15,1264.9600,1264.9600,1203.0300,1214.3600,5948650000
2001-06-22,1214.3600,1240.2400,1207.7100,1225.3500,6382620000
2001-06-29,1225.3500,1237.2900,1204.6400,1224.3800,6570760000
2001-07-06,1224.4200,1239.7800,1188.7400,1190.5900,3742010000
2001-07-13,1190.5900,1218.5400,1168.4600,1215.6801,6209300000
2001-07-20,1215.6801,1225.0400,1196.1400,1210.8500,6108600000
2001-07-27,1210.8500,1215.2200,1165.5400,1205.8199,5695500000
2001-08-03,1205.8199,1226.2700,1200.4100,1214.3500,5536800000
2001-08-10,1214.3500,1214.3500,1169.5500,1190.1600,5013400000
2001-08-17,1190.1600,1198.7900,1156.0699,1161.9700,4897500000
2001-08-24,1161.9700,1185.1500,1153.3400,1184.9301,5079300000
2001-08-31,1184.9301,1186.8500,1124.8700,1133.5800,4870500000
2001-09-07,1133.5800,1155.4000,1082.1200,1085.7800,5346800000
2001-09-10,1085.7800,1096.9399,1073.1500,1092.5400,1276600000
2001-09-21,1092.5400,1092.5400,944.7500,965.8000,10423890000
2001-09-28,965.8000,1040.9399,965.8000,1040.9399,7978000000
2001-10-05,1040.9399,1084.1200,1026.7600,1071.3800,7026800000
2001-10-12,1071.3700,1099.1600,1052.7600,1091.6500,6555180000
2001-10-19,1091.6500,1107.1200,1057.2400,1073.4800,6245200000
2001-10-26,1073.4800,1110.6100,1065.6400,1104.6100,6368100000
2001-11-02,1104.6100,1104.6100,1053.6100,1087.2000,6195300000
2001-11-09,1087.2000,1135.7500,1087.2000,1120.3101,6646300000
2001-11-16,1120.3101,1148.2800,1098.3199,1138.6500,6597000000
2001-11-23,1138.6500,1152.4500,1129.7800,1150.3400,4086600000
2001-11-30,1150.3400,1163.3800,1125.5100,1139.4500,6560800000
2001-12-07,1139.4500,1173.6200,1125.7800,1158.3101,7022800000
2001-12-14,1158.3101,1158.3101,1114.5300,1123.0900,6853900000
2001-12-21,1123.0900,1152.4399,1122.6600,1144.8900,7283800000
2001-12-28,1144.8900,1164.6400,1144.6200,1161.0200,3024470000
2002-01-04,1161.0200,1176.5500,1136.2300,1172.5100,5026500000
2002-01-11,1172.5100,1176.9700,1145.4500,1145.6000,6530000000
2002-01-18,1145.6000,1148.8101,1124.4500,1127.5800,6869200000
2002-01-25,1127.5800,1139.5000,1117.4301,1133.2800,5688700000
2002-02-01,1133.2800,1138.6300,1081.6600,1122.2000,7942600000
2002-02-08,1122.2000,1122.2000,1077.7800,1096.2200,7695200000
2002-02-15,1096.2200,1124.7200,1094.6801,1104.1801,6101200000
2002-02-22,1104.1801,1104.1801,1074.3600,1089.8400,5421400000
2002-03-01,1089.8400,1131.7900,1089.8400,1131.7800,6919100000
2002-03-08,1131.7800,1172.7600,1130.9301,1164.3101,7614300000
2002-03-15,1164.3101,1173.0300,1151.0100,1166.1600,6571300000
2002-03-22,1166.1600,1173.9399,1139.4800,1148.7000,6311900000
2002-03-28,1148.7000,1154.4500,1131.6100,1147.3900,4609200000
2002-04-05,1147.3900,1147.8400,1119.4900,1122.7300,5841300000
2002-04-12,1122.7300,1131.7600,1102.4200,1111.0100,6566300000
2002-04-19,1111.0100,1133.0000,1099.4100,1125.1700,6382900000
2002-04-26,1125.1700,1125.1700,1076.3101,1076.3199,6835100000
2002-05-03,1076.3199,1091.4200,1063.4600,1073.4301,7043200000
2002-05-10,1073.4301,1088.9200,1048.9600,1054.9900,6304200000
2002-05-17,1054.9900,1106.5900,1053.9000,1106.5900,6454300000
2002-05-24,1106.5900,1106.5900,1075.6400,1083.8199,5404900000
2002-05-31,1083.8199,1085.9800,1054.2600,1067.1400,4642200000
2002-06-07,1067.1400,1070.7400,1012.4900,1027.5300,7033800000
