,1. open,2. high,3. low,4. close,5. volume
2017-11-14 09:31:00,2577.7500,2577.7500,2575.7200,2575.8500,0
2017-11-14 09:32:00,2575.8000,2576.1400,2575.5100,2575.9300,0
2017-11-14 09:33:00,2575.8800,2575.8800,2575.2300,2575.2300,0
2017-11-14 09:34:00,2575.2400,2575.6000,2575.1500,2575.4700,0
2017-11-14 09:35:00,2575.4900,2576.6300,2575.3400,2576.3300,0
2017-11-14 09:36:00,2576.4200,2576.4200,2574.8600,2574.8700,0
2017-11-14 09:37:00,2574.8700,2574.9500,2573.1300,2573.1500,0
2017-11-14 09:38:00,2573.1600,2573.9900,2573.1600,2573.6200,0
2017-11-14 09:39:00,2573.6100,2574.4800,2573.6100,2574.4500,0
2017-11-14 09:40:00,2574.5200,2576.1900,2574.4800,2575.3000,0
2017-11-14 09:41:00,2575.4000,2576.7500,2575.4000,2576.3400,0
2017-11-14 09:42:00,2576.3600,2576.3700,2575.9600,2576.3500,0
2017-11-14 09:43:00,2576.3500,2577.5500,2576.2900,2577.5500,0
2017-11-14 09:44:00,2577.5600,2577.6700,2576.1000,2576.2100,0
2017-11-14 09:45:00,2576.2300,2576.3900,2575.7400,2575.7400,0
2017-11-14 09:46:00,2575.6100,2576.2700,2575.4100,2576.1200,0
2017-11-14 09:47:00,2576.1400,2576.3200,2575.8900,2576.3100,0
2017-11-14 09:48:00,2576.3800,2577.0100,2576.3800,2576.9300,0
2017-11-14 09:49:00,2576.8800,2577.4600,2576.8800,2577.1500,0
2017-11-14 09:50:00,2577.0700,2577.0700,2575.6600,2575.8300,0
2017-11-14 09:51:00,2575.9200,2576.1400,2575.4200,2575.5500,0
2017-11-14 09:52:00,2575.5300,2575.9000,2575.3200,2575.3200,0
2017-11-14 09:53:00,2575.3200,2575.5200,2575.2300,2575.4700,0
2017-11-14 09:54:00,2575.5400,2577.0200,2575.5400,2576.9700,0
2017-11-14 09:55:00,2576.8800,2576.8800,2576.1200,2576.1200,0
2017-11-14 09:56:00,2576.1000,2576.1600,2575.1000,2575.6100,0
2017-11-14 09:57:00,2575.6400,2575.7300,2575.1100,2575.2500,0
